text,rating,review_date,verified_purchase,helpful_votes,label
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.2 stars.",4.2,2025-10-13 22:11:49.763370,False,12,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.5 stars.",3.5,2025-11-02 22:11:49.763379,True,10,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.6 stars.",4.6,2025-09-18 22:11:49.763387,True,5,high_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.3 stars.",2.3,2025-09-05 22:11:49.763395,True,5,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.6 stars.",2.6,2025-10-28 22:11:49.763404,True,2,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.4 stars.",3.4,2025-01-30 22:11:49.763417,False,6,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.9 stars.",2.9,2025-03-18 22:11:49.763426,False,16,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 2.6 stars.",2.6,2025-02-10 22:11:49.763434,True,16,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 1.0 stars.",1.0,2025-08-07 22:11:49.763443,False,10,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.4 stars.",4.4,2025-04-07 22:11:49.763451,False,16,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.0 stars.",3.0,2025-10-22 22:11:49.763459,True,20,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 4.6 stars.",4.6,2025-09-18 22:11:49.763468,True,4,low_quality
"This is a customer review for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops. The product was rated 3.8 stars.",3.8,2025-03-17 22:11:49.763476,True,4,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.1 stars.,4.1,2025-02-20 22:11:49.763489,True,13,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.0 stars.,4.0,2024-12-31 22:11:49.763498,False,16,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.6 stars.,2.6,2025-08-30 22:11:49.763507,True,13,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.2 stars.,4.2,2025-04-14 22:11:49.763515,False,13,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.5 stars.,4.5,2025-10-04 22:11:49.763524,True,2,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.6 stars.,1.6,2025-10-14 22:11:49.763532,True,16,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.9 stars.,2.9,2025-01-11 22:11:49.763550,False,7,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.1 stars.,2.1,2025-09-25 22:11:49.763566,True,2,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.6 stars.,3.6,2025-08-06 22:11:49.763576,True,4,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.3 stars.,1.3,2025-12-04 22:11:49.763588,True,0,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.3 stars.,3.3,2025-07-22 22:11:49.763597,True,0,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.1 stars.,1.1,2025-10-28 22:11:49.763605,True,19,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.7 stars.,4.7,2025-11-07 22:11:49.763614,True,1,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.2 stars.,2.2,2025-08-19 22:11:49.763623,True,11,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.6 stars.,3.6,2025-05-29 22:11:49.763630,False,7,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.0 stars.,2.0,2025-01-09 22:11:49.763641,True,6,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.5 stars.,2.5,2025-11-30 22:11:49.763649,False,6,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.0 stars.,3.0,2025-10-30 22:11:49.763657,True,7,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.1 stars.,1.1,2025-12-27 22:11:49.763665,True,8,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.0 stars.,3.0,2025-10-28 22:11:49.763674,False,8,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.6 stars.,4.6,2025-04-26 22:11:49.763682,True,3,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.3 stars.,4.3,2025-03-20 22:11:49.763690,False,12,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.3 stars.,1.3,2025-02-12 22:11:49.763698,False,18,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.3 stars.,3.3,2025-03-07 22:11:49.763707,False,2,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.2 stars.,4.2,2025-11-11 22:11:49.763714,False,6,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.4 stars.,4.4,2025-03-05 22:11:49.763727,True,16,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.8 stars.,4.8,2025-10-10 22:11:49.763735,False,5,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.8 stars.,4.8,2025-07-10 22:11:49.763746,True,9,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.7 stars.,3.7,2025-02-23 22:11:49.763754,True,4,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.3 stars.,4.3,2025-06-11 22:11:49.763763,True,13,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.7 stars.,3.7,2025-12-03 22:11:49.763775,False,16,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.6 stars.,4.6,2025-03-30 22:11:49.763783,False,16,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.9 stars.,4.9,2025-04-11 22:11:49.763791,True,8,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.0 stars.,2.0,2025-05-19 22:11:49.763800,True,1,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.0 stars.,2.0,2025-05-18 22:11:49.763807,False,5,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.3 stars.,1.3,2025-07-23 22:11:49.763815,True,0,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.4 stars.,4.4,2025-01-18 22:11:49.763822,False,4,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.6 stars.,2.6,2025-01-30 22:11:49.763834,True,9,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 3.6 stars.,3.6,2025-08-02 22:11:49.763842,False,17,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.2 stars.,4.2,2025-01-20 22:11:49.763850,True,17,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.7 stars.,1.7,2025-06-06 22:11:49.763858,False,10,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.6 stars.,1.6,2025-03-05 22:11:49.763865,False,7,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.7 stars.,1.7,2025-04-14 22:11:49.763873,True,5,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.3 stars.,4.3,2025-06-10 22:11:49.763883,True,14,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.1 stars.,4.1,2025-10-05 22:11:49.763891,True,17,high_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.0 stars.,1.0,2025-05-04 22:11:49.763904,False,7,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 1.9 stars.,1.9,2025-03-04 22:11:49.763912,True,7,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.9 stars.,4.9,2025-08-06 22:11:49.763920,False,7,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 2.7 stars.,2.7,2025-02-27 22:11:49.763932,True,2,low_quality
This is a customer review for Mens Casual Premium Slim Fit T-Shirts . The product was rated 4.1 stars.,4.1,2025-04-30 22:11:49.763940,False,0,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.5 stars.,1.5,2025-07-30 22:11:49.763950,False,7,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.7 stars.,4.7,2025-01-27 22:11:49.763958,True,16,high_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.2 stars.,3.2,2025-08-20 22:11:49.763966,True,5,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.3 stars.,2.3,2025-01-30 22:11:49.763974,False,9,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.3 stars.,4.3,2025-04-13 22:11:49.763982,True,5,high_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.5 stars.,1.5,2025-05-17 22:11:49.763990,False,4,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.2 stars.,1.2,2025-01-07 22:11:49.763999,True,19,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.6 stars.,4.6,2025-11-10 22:11:49.764006,True,17,high_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.6 stars.,3.6,2025-03-23 22:11:49.764014,True,15,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.1 stars.,1.1,2025-08-16 22:11:49.764024,True,0,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.6 stars.,2.6,2025-08-15 22:11:49.764033,True,4,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.2 stars.,4.2,2025-03-13 22:11:49.764043,True,17,high_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.7 stars.,2.7,2025-10-23 22:11:49.764052,False,9,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.8 stars.,4.8,2025-10-17 22:11:49.764064,False,19,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.0 stars.,4.0,2025-12-15 22:11:49.764075,False,2,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.1 stars.,3.1,2025-01-31 22:11:49.764082,False,5,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.5 stars.,3.5,2025-09-26 22:11:49.764090,False,17,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.5 stars.,1.5,2025-10-09 22:11:49.764098,True,16,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.8 stars.,2.8,2025-09-29 22:11:49.764106,True,5,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.8 stars.,1.8,2025-01-14 22:11:49.764114,False,1,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.3 stars.,2.3,2025-10-22 22:11:49.764122,False,14,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.9 stars.,1.9,2025-01-14 22:11:49.764130,True,11,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.6 stars.,2.6,2025-07-24 22:11:49.764138,True,5,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.5 stars.,4.5,2025-09-07 22:11:49.764146,False,1,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.6 stars.,2.6,2025-04-10 22:11:49.764154,False,20,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.8 stars.,1.8,2025-01-05 22:11:49.764162,True,3,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.7 stars.,4.7,2025-11-07 22:11:49.764170,False,6,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.6 stars.,3.6,2025-01-07 22:11:49.764178,False,6,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.5 stars.,1.5,2025-08-04 22:11:49.764185,False,1,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.1 stars.,4.1,2025-01-29 22:11:49.764196,False,4,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.2 stars.,1.2,2025-11-25 22:11:49.764205,True,0,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.5 stars.,3.5,2025-04-01 22:11:49.764213,False,7,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.7 stars.,1.7,2025-02-12 22:11:49.764221,True,16,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.2 stars.,1.2,2025-10-31 22:11:49.764234,False,10,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.7 stars.,1.7,2025-05-12 22:11:49.764246,True,6,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.7 stars.,3.7,2025-10-17 22:11:49.764253,True,13,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.6 stars.,2.6,2025-07-24 22:11:49.764261,True,11,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.5 stars.,1.5,2025-01-11 22:11:49.764269,False,7,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.7 stars.,1.7,2025-09-22 22:11:49.764277,False,14,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.2 stars.,2.2,2025-04-05 22:11:49.764284,False,20,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.3 stars.,1.3,2025-09-11 22:11:49.764292,True,12,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.6 stars.,4.6,2025-08-31 22:11:49.764300,True,1,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 1.2 stars.,1.2,2025-02-22 22:11:49.764308,False,9,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.5 stars.,3.5,2025-11-08 22:11:49.764316,True,19,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.9 stars.,3.9,2025-07-22 22:11:49.764328,False,4,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.4 stars.,2.4,2025-09-04 22:11:49.764336,False,15,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 2.6 stars.,2.6,2025-09-22 22:11:49.764343,True,13,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.2 stars.,4.2,2025-02-05 22:11:49.764351,True,15,high_quality
This is a customer review for Mens Cotton Jacket. The product was rated 3.3 stars.,3.3,2025-03-09 22:11:49.764359,False,7,low_quality
This is a customer review for Mens Cotton Jacket. The product was rated 4.0 stars.,4.0,2025-03-11 22:11:49.764369,True,2,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 5.0 stars.,5.0,2025-04-30 22:11:49.764378,True,4,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 1.3 stars.,1.3,2025-06-10 22:11:49.764386,True,5,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.1 stars.,3.1,2025-12-01 22:11:49.764393,False,12,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.8 stars.,3.8,2025-10-01 22:11:49.764405,False,5,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.2 stars.,2.2,2025-01-19 22:11:49.764413,True,14,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.4 stars.,3.4,2025-09-24 22:11:49.764421,True,9,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.7 stars.,3.7,2025-12-08 22:11:49.764428,True,0,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.8 stars.,3.8,2025-10-30 22:11:49.764436,True,11,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.8 stars.,4.8,2025-12-25 22:11:49.764444,True,12,high_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.2 stars.,3.2,2025-07-20 22:11:49.764452,True,4,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.9 stars.,3.9,2025-10-06 22:11:49.764459,True,20,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.9 stars.,2.9,2025-06-12 22:11:49.764472,True,15,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.8 stars.,4.8,2025-07-06 22:11:49.764479,True,1,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.3 stars.,4.3,2025-09-01 22:11:49.764487,False,16,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.0 stars.,2.0,2025-01-03 22:11:49.764500,False,6,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 1.9 stars.,1.9,2025-07-16 22:11:49.764508,True,16,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.9 stars.,3.9,2025-09-26 22:11:49.764516,False,2,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.5 stars.,4.5,2025-03-26 22:11:49.764523,True,9,high_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.8 stars.,4.8,2025-03-23 22:11:49.764532,False,10,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.1 stars.,4.1,2025-06-09 22:11:49.764540,True,20,high_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.4 stars.,2.4,2025-04-03 22:11:49.764548,False,7,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.7 stars.,2.7,2025-05-17 22:11:49.764556,True,17,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.2 stars.,4.2,2025-02-13 22:11:49.764563,True,15,high_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.5 stars.,2.5,2025-05-08 22:11:49.764576,True,5,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.7 stars.,2.7,2025-01-12 22:11:49.764584,True,1,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.7 stars.,2.7,2025-02-04 22:11:49.764592,True,8,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.9 stars.,2.9,2025-04-02 22:11:49.764605,False,7,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.3 stars.,4.3,2025-10-16 22:11:49.764613,True,3,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.6 stars.,4.6,2025-03-17 22:11:49.764621,False,14,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.8 stars.,4.8,2025-12-01 22:11:49.764629,True,6,high_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.3 stars.,3.3,2025-05-16 22:11:49.764637,False,5,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 1.5 stars.,1.5,2025-12-09 22:11:49.764646,False,0,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.7 stars.,4.7,2025-07-31 22:11:49.764654,False,13,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.4 stars.,3.4,2025-06-07 22:11:49.764662,False,0,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 1.3 stars.,1.3,2025-05-31 22:11:49.764670,False,12,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.2 stars.,2.2,2025-01-24 22:11:49.764677,False,16,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.5 stars.,3.5,2025-08-27 22:11:49.764686,False,6,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.9 stars.,2.9,2025-12-20 22:11:49.764694,True,5,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.9 stars.,4.9,2025-04-06 22:11:49.764702,True,9,high_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.7 stars.,3.7,2024-12-31 22:11:49.764710,False,9,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.7 stars.,4.7,2025-10-23 22:11:49.764719,False,4,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.9 stars.,4.9,2025-11-24 22:11:49.764727,False,14,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 1.7 stars.,1.7,2025-03-17 22:11:49.764741,True,8,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 4.9 stars.,4.9,2025-10-30 22:11:49.764749,False,16,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.4 stars.,3.4,2025-03-11 22:11:49.764757,True,13,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 2.3 stars.,2.3,2025-08-12 22:11:49.764765,True,0,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 1.8 stars.,1.8,2025-09-28 22:11:49.764772,False,9,low_quality
This is a customer review for Mens Casual Slim Fit. The product was rated 3.7 stars.,3.7,2025-03-19 22:11:49.764781,False,2,low_quality
